name	count_hours
Яшнов Владимир	94
Тянников Иларион	85
Кутепов Ефим	81
Щеглов Ким	79
Лассман Платон	76
Бурда Рубен	68
Елизаров Агап	63
Дейнекин Даниил	60
Алехин Максимильян	58
Дутов Александр	56
Сафонов Самуил	53
Разин Кондрат	51
Большаков Панкратий	51
Берлунов Вадим	48
Толмачёв Аристарх	48
Пичугин Дмитрий	48
Шаломенцев Феоктист	48
Вязьмитин Игнат	45
Порошин Степан	45
Ягафаров Никон	43
Бугаков Валерий	42
Погребняк Давид	42
Кахманова Захар	42
Богачёв Тихон	40
Гилёв Самсон	39
Шамило Федосий	39
Загряжский Марк	38
Тургенев Самсон	34
Шуста Трофим	33
Лероев Парфен	33
Дьячков Севастьян	31
Пономарев Валерьян	30
Ярмухаметов Фома	30
Шалаганов Константин	30
Свалов Арсений	30
Бурцов Никита	27
Кандаков Адриан	27
Кортнев Дмитрий	26
Саввин Онисим	25
Косков Иннокентий	25
Клоков Ярослав	25
Квасников Емельян	24
Хватов Борислав	24
Царёв Герасим	24
Чичерин Федосий	23
Перехваткин Сергей	23
Гайденко Илья	22
Авдеев Панкратий	22
Круминьш Виталий	22
Фунтусов Ярослав	21
Жириновский Наум	21
Ютилов Ерофей	21
Корбылев Якуб	21
Кутяков Ефрем	20
Носов Макар	20
Нюхалов Валентин	20
Герций Афанасий	19
Закрятин Георгий	19
Фуриков Эрнст	19
Лилов Тимофей	19
Решетилов Изяслав	19
Янпольский Михей	18
Ядрихинский Егор	18
Никольский Всеслав	18
Барсуков Виктор	18
Цвиленев Никита	18
Бойков Максим	18
Можаев Адриан	18
Боварин Анатолий	18
Ягренев Прохор	17
Валевач Измаил	17
Молодых Елисей	16
Жариков Афанасий	15
Кооскора Вениамин	15
Бондарев Игорь	15
Земцовский Всеволод	14
Веденеев Кондрат	14
Калашников Терентий	13
Амбражевич Порфирий	13
Лавлинский Сидор	13
Коршиков Матвей	13
Элиашев Владимир	13
Ремизов Эрнест	13
Шабанов Клавдий	13
Якусик Вячеслав	13
Катаев Павел	12
Алексахин Валерий	12
Коржаков Юлий	12
Абакумов Казимир	11
Давыдов Филипп	11
Грузинский Парфен	10
Журавлев Севастьян	8
Беленков Денис	8
Караулин Борис	8
Шмелёв Гаврила	8
Шведов Юрий	8
Племянников Всеслав	8
Иньшов Геннадий	7
Блаженов Артем	7
Гудков Харитон	6
