name	average_age_students
Чубаров Еремей	25.1667
Яблоновский Юлий	26.1667
Столяров Авдей	26.1667
Яньков Эрнест	27.0000
Серов Яков	27.1667
Киселев Александр	27.8333
Александрович Викентий	28.0000
Баскаков Егор	28.0000
Дьячков Мирон	28.1667
Лобан Эммануил	28.4167
Кизюрин Евграф	28.5000
Яглинцев Владислав	28.5714
Махов Валентин	28.8333
Карявин Ерофей	29.0000
Матеров Данил	29.1667
Ягешев Сидор	29.3333
Федченков Константин	29.5000
Панькив Поликарп	29.8333
Пугачёв Лукьян	29.9444
Корявин Илья	30.0000
Булдаков Евсей	30.0000
Шамило Лаврентий	30.5000
Седегов Варфоломей	31.0000
Гурин Фока	31.1667
Хованский Платон	31.3333
Геремеш Георгий	31.5000
Кубышкин Трофим	31.5000
Ажищенков Фома	31.8333
Сияница Олег	32.0556
Борисюк Саввелий	32.1667
Неелов Федор	32.3333
Колиух Вацлав	32.3333
Гавшин Онисим	32.5000
Травников Ипатий	33.1667
Калугер Вениамин	33.3333
Яржемковский Дмитрий	33.5000
Ерохин Павел	34.1667
Янко Петр	34.5000
